;event_type;event_class
775;THUNDERSTORM WIND G52;Thunderstorm Wind
776;THUNDERSTORM WIND G55;Thunderstorm Wind
777;THUNDERSTORM WIND G60;Thunderstorm Wind
778;THUNDERSTORM WIND G61;Thunderstorm Wind
779;THUNDERSTORM WIND TREES;Thunderstorm Wind
780;THUNDERSTORM WIND.;Thunderstorm Wind
781;THUNDERSTORM WIND/ TREE;Thunderstorm Wind
782;THUNDERSTORM WIND/ TREES;Thunderstorm Wind
783;THUNDERSTORM WIND/AWNING;Thunderstorm Wind
784;THUNDERSTORM WIND/HAIL;Thunderstorm Wind
785;THUNDERSTORM WIND/LIGHTNING;Thunderstorm Wind
786;THUNDERSTORM WINDS;Thunderstorm Wind
787;THUNDERSTORM WINDS      LE CEN;Thunderstorm Wind
788;THUNDERSTORM WINDS 13;Thunderstorm Wind
789;THUNDERSTORM WINDS 2;Thunderstorm Wind
790;THUNDERSTORM WINDS 50;Thunderstorm Wind
791;THUNDERSTORM WINDS 52;Thunderstorm Wind
792;THUNDERSTORM WINDS 53;Thunderstorm Wind
793;THUNDERSTORM WINDS 60;Thunderstorm Wind
794;THUNDERSTORM WINDS 61;Thunderstorm Wind
795;THUNDERSTORM WINDS 62;Thunderstorm Wind
796;THUNDERSTORM WINDS 63 MPH;Thunderstorm Wind
797;THUNDERSTORM WINDS AND;Thunderstorm Wind
798;THUNDERSTORM WINDS FUNNEL CLOU;Thunderstorm Wind
799;THUNDERSTORM WINDS G;Thunderstorm Wind
800;THUNDERSTORM WINDS G60;Thunderstorm Wind
801;THUNDERSTORM WINDS HAIL;Thunderstorm Wind
802;THUNDERSTORM WINDS HEAVY RAIN;Thunderstorm Wind
803;THUNDERSTORM WINDS LIGHTNING;Thunderstorm Wind
804;THUNDERSTORM WINDS SMALL STREA;Thunderstorm Wind
805;THUNDERSTORM WINDS URBAN FLOOD;Thunderstorm Wind
806;THUNDERSTORM WINDS.;Thunderstorm Wind
807;THUNDERSTORM WINDS/ FLOOD;Thunderstorm Wind
808;THUNDERSTORM WINDS/ HAIL;Thunderstorm Wind
809;THUNDERSTORM WINDS/FLASH FLOOD;Thunderstorm Wind
810;THUNDERSTORM WINDS/FLOODING;Thunderstorm Wind
811;THUNDERSTORM WINDS/FUNNEL CLOU;Thunderstorm Wind
812;THUNDERSTORM WINDS/HAIL;Thunderstorm Wind
813;THUNDERSTORM WINDS/HEAVY RAIN;Thunderstorm Wind
814;THUNDERSTORM WINDS53;Thunderstorm Wind
815;THUNDERSTORM WINDSHAIL;Thunderstorm Wind
816;THUNDERSTORM WINDSS;Thunderstorm Wind
817;THUNDERSTORM WINS;Thunderstorm Wind
818;THUNDERSTORMS;Thunderstorm Wind
819;THUNDERSTORMS WIND;Thunderstorm Wind
820;THUNDERSTORMS WINDS;Thunderstorm Wind
821;THUNDERSTORMW;Thunderstorm Wind
822;THUNDERSTORMW 50;Thunderstorm Wind
823;THUNDERSTORMW WINDS;Thunderstorm Wind
824;THUNDERSTORMWINDS;Thunderstorm Wind
825;THUNDERSTROM WIND;Thunderstorm Wind
826;THUNDERSTROM WINDS;Thunderstorm Wind
827;THUNDERTORM WINDS;Thunderstorm Wind
828;THUNDERTSORM WIND;Thunderstorm Wind
829;THUNDESTORM WINDS;Thunderstorm Wind
830;THUNERSTORM WINDS;Thunderstorm Wind
831;TIDAL FLOOD;Coastal Flood
832;Tidal Flooding;Coastal Flood
833;TIDAL FLOODING;Coastal Flood
834;TORNADO;Tornado
835;TORNADO DEBRIS;Tornado
836;TORNADO F0;Tornado
837;TORNADO F1;Tornado
838;TORNADO F2;Tornado
839;TORNADO F3;Tornado
840;TORNADO/WATERSPOUT;Tornado
841;TORNADOES;Tornado
842;TORNADOES, TSTM WIND, HAIL;Tornado
843;TORNADOS;Tornado
844;TORNDAO;Tornado
845;TORRENTIAL RAIN;Heavy Rain
846;Torrential Rainfall;Heavy Rain
847;TROPICAL DEPRESSION;Tropical Storm
848;TROPICAL STORM;Tropical Storm
849;TROPICAL STORM ALBERTO;Tropical Storm
850;TROPICAL STORM DEAN;Tropical Storm
851;TROPICAL STORM GORDON;Tropical Storm
852;TROPICAL STORM JERRY;Tropical Storm
853;TSTM;Thunderstorm Wind
854;TSTM HEAVY RAIN;Thunderstorm Wind
855;Tstm Wind;Thunderstorm Wind
856;TSTM WIND;Thunderstorm Wind
857;TSTM WIND  (G45);Thunderstorm Wind
858;TSTM WIND (41);Thunderstorm Wind
859;TSTM WIND (G35);Thunderstorm Wind
860;TSTM WIND (G40);Thunderstorm Wind
861;TSTM WIND (G45);Thunderstorm Wind
862;TSTM WIND 40;Thunderstorm Wind
863;TSTM WIND 45;Thunderstorm Wind
864;TSTM WIND 50;Thunderstorm Wind
865;TSTM WIND 51;Thunderstorm Wind
866;TSTM WIND 52;Thunderstorm Wind
867;TSTM WIND 55;Thunderstorm Wind
868;TSTM WIND 65);Thunderstorm Wind
869;TSTM WIND AND LIGHTNING;Thunderstorm Wind
870;TSTM WIND DAMAGE;Thunderstorm Wind
871;TSTM WIND G45;Thunderstorm Wind
872;TSTM WIND G58;Thunderstorm Wind
873;TSTM WIND/HAIL;Thunderstorm Wind
874;TSTM WINDS;Thunderstorm Wind
875;TSTM WND;Thunderstorm Wind
876;TSTMW;Thunderstorm Wind
877;TSUNAMI;Tsunami 
878;TUNDERSTORM WIND;Thunderstorm Wind
879;TYPHOON;Hurricane (Typhoon) 
880;Unseasonable Cold;Extreme Cold/Wind Chill
881;UNSEASONABLY COLD;Extreme Cold/Wind Chill
882;UNSEASONABLY COOL;Extreme Cold/Wind Chill
883;UNSEASONABLY COOL & WET;Extreme Cold/Wind Chill
884;UNSEASONABLY DRY;Drought
885;UNSEASONABLY HOT;Excessive Heat
886;UNSEASONABLY WARM;Drought
887;UNSEASONABLY WARM & WET;NA
888;UNSEASONABLY WARM AND DRY;Drought
889;UNSEASONABLY WARM YEAR;NA
890;UNSEASONABLY WARM/WET;Drought
891;UNSEASONABLY WET;Heat
892;UNSEASONAL LOW TEMP;Extreme Cold/Wind Chill
893;UNSEASONAL RAIN;Heavy Rain
894;UNUSUAL WARMTH;Excessive Heat
895;UNUSUAL/RECORD WARMTH;Excessive Heat
896;UNUSUALLY COLD;Cold/Wind Chill
897;UNUSUALLY LATE SNOW;NA
898;UNUSUALLY WARM;Excessive Heat
899;URBAN AND SMALL;NA
900;URBAN AND SMALL STREAM;Flood
901;URBAN AND SMALL STREAM FLOOD;Flood
902;URBAN AND SMALL STREAM FLOODIN;Flood
903;Urban flood;Flood
904;Urban Flood;Flood
905;URBAN FLOOD;Flood
906;URBAN FLOOD LANDSLIDE;Flood
907;Urban Flooding;Flood
908;URBAN FLOODING;Flood
909;URBAN FLOODS;Flood
910;URBAN SMALL;Flood
911;URBAN SMALL STREAM FLOOD;Flood
912;URBAN/SMALL;Flood
913;URBAN/SMALL FLOODING;Flood
914;URBAN/SMALL STREAM;Flood
915;URBAN/SMALL STREAM  FLOOD;Flood
916;URBAN/SMALL STREAM FLOOD;Flood
917;URBAN/SMALL STREAM FLOODING;Flood
918;URBAN/SMALL STRM FLDG;Flood
919;URBAN/SML STREAM FLD;Flood
920;URBAN/SML STREAM FLDG;Flood
921;URBAN/STREET FLOODING;Flood
922;VERY DRY;Excessive Heat
923;VERY WARM;Excessive Heat
924;VOG;NA
925;Volcanic Ash;Volcanic Ash
926;VOLCANIC ASH;Volcanic Ash
927;Volcanic Ash Plume;Volcanic Ash
928;VOLCANIC ASHFALL;Volcanic Ash
929;VOLCANIC ERUPTION;Volcanic Ash
930;WAKE LOW WIND;NA
931;WALL CLOUD;Funnel Cloud
932;WALL CLOUD/FUNNEL CLOUD;Funnel Cloud
933;WARM DRY CONDITIONS;Drought
934;WARM WEATHER;Excessive Heat
935;WATER SPOUT;Waterspout
936;WATERSPOUT;Waterspout
937;WATERSPOUT-;Waterspout
938;WATERSPOUT-TORNADO;Waterspout
939;WATERSPOUT FUNNEL CLOUD;Waterspout
940;WATERSPOUT TORNADO;Waterspout
941;WATERSPOUT/;Waterspout
942;WATERSPOUT/ TORNADO;Waterspout
943;WATERSPOUT/TORNADO;Waterspout
944;WATERSPOUTS;Waterspout
945;WAYTERSPOUT;Waterspout
946;wet micoburst;Strong Wind
947;WET MICROBURST;Strong Wind
948;Wet Month;NA
949;WET SNOW;Winter Weather
950;WET WEATHER;NA
951;Wet Year;NA
952;Whirlwind;Thunderstorm Wind
953;WHIRLWIND;Thunderstorm Wind
954;WILD FIRES;Wildfire
955;WILD/FOREST FIRE;Wildfire
956;WILD/FOREST FIRES;Wildfire
957;WILDFIRE;Wildfire
958;WILDFIRES;Wildfire
959;Wind;Strong Wind
960;WIND;Strong Wind
961;WIND ADVISORY;Strong Wind
962;WIND AND WAVE;Strong Wind
963;WIND CHILL;Strong Wind
964;WIND CHILL/HIGH WIND;Cold/Wind Chill
965;Wind Damage;Strong Wind
966;WIND DAMAGE;Strong Wind
967;WIND GUSTS;Strong Wind
968;WIND STORM;Strong Wind
969;WIND/HAIL;Strong Wind
970;WINDS;Strong Wind
971;WINTER MIX;Winter Weather
972;WINTER STORM;Winter Storm
973;WINTER STORM HIGH WINDS;Winter Storm
974;WINTER STORM/HIGH WIND;Winter Storm
975;WINTER STORM/HIGH WINDS;Winter Storm
976;WINTER STORMS;Winter Storm
977;Winter Weather;Winter Weather
978;WINTER WEATHER;Winter Weather
979;WINTER WEATHER MIX;Winter Weather
980;WINTER WEATHER/MIX;Winter Weather
981;WINTERY MIX;Winter Weather
982;Wintry mix;Winter Weather
983;Wintry Mix;Winter Weather
984;WINTRY MIX;Winter Weather
985;WND;NA
